animal_number;responder;location;visit_time;duration;weight;feed_intake
211681;984000010111681;2;02/05/2026 17.31;1445;99422;1323
211681;984000010111681;2;02/05/2026 20.47;1019;102266;719
211681;984000010111681;2;03/05/2026 12.06;1283;102649;1143
211681;984000010111681;2;03/05/2026 23.38;1051;103014;811
211681;984000010111681;2;04/05/2026 08.02;1046;101242;508
211681;984000010111681;2;04/05/2026 12.08;1611;104816;1478
211681;984000010111681;2;05/05/2026 08.23;920;104276;762
211681;984000010111681;2;05/05/2026 19.54;1519;108801;1207
211681;984000010111681;2;05/05/2026 23.23;917;105782;604
211681;984000010111681;2;06/05/2026 13.08;1006;108031;832
211681;984000010111681;2;07/05/2026 04.47;1344;105106;1137
211681;984000010111681;2;07/05/2026 13.53;1679;107851;1543
211681;984000010111681;2;08/05/2026 09.37;1065;106003;856
211681;984000010111681;2;08/05/2026 17.15;1275;105185;794
211681;984000010111681;2;09/05/2026 01.59;1819;107012;1772
211681;984000010111681;2;10/05/2026 03.41;1635;105665;1289
211681;984000010111681;2;10/05/2026 13.35;1763;108871;1735
211681;984000010111681;2;11/05/2026 16.11;1818;106183;1362
211681;984000010111681;2;12/05/2026 00.02;1543;108256;1208
211681;984000010111681;2;12/05/2026 04.58;1289;110533;1149
211681;984000010111681;2;13/05/2026 02.21;1836;111515;1522
211681;984000010111681;2;13/05/2026 12.58;1547;110138;880
211681;984000010111681;2;13/05/2026 18.18;1246;112831;1136
211681;984000010111681;2;14/05/2026 15.49;1126;113656;795
211681;984000010111681;2;14/05/2026 23.16;1380;111056;1154
211681;984000010111681;2;15/05/2026 07.31;1500;113240;1686
211681;984000010111681;2;16/05/2026 06.09;1313;112974;1220
211863;984000010111863;2;02/05/2026 14.05;80;95348;5
211863;984000010111863;2;02/05/2026 15.50;1595;96266;1033
211863;984000010111863;2;02/05/2026 22.08;1024;97167;464
211863;984000010111863;2;03/05/2026 05.57;1303;96711;801
211863;984000010111863;2;04/05/2026 01.58;1638;95436;1015
211863;984000010111863;2;04/05/2026 04.42;53;;13
211863;984000010111863;2;04/05/2026 04.54;115;97628;51
211863;984000010111863;2;04/05/2026 05.22;675;96648;349
211863;984000010111863;2;04/05/2026 14.05;1813;99355;1131
211863;984000010111863;2;05/05/2026 12.32;1819;95529;872
211863;984000010111863;2;05/05/2026 19.23;1223;97544;763
211863;984000010111863;2;06/05/2026 02.51;1484;100835;948
211863;984000010111863;2;06/05/2026 05.14;739;98750;406
211863;984000010111863;2;06/05/2026 13.35;1360;98827;862
211863;984000010111863;2;07/05/2026 05.22;986;97435;564
211863;984000010111863;2;07/05/2026 07.39;746;98826;392
211863;984000010111863;2;07/05/2026 11.53;856;99216;485
211863;984000010111863;2;07/05/2026 17.47;967;99421;563
211863;984000010111863;2;07/05/2026 20.55;1275;101295;787
211863;984000010111863;2;08/05/2026 14.32;1069;97892;439
211863;984000010111863;2;08/05/2026 15.02;556;97907;303
211863;984000010111863;2;08/05/2026 23.26;1336;103456;811
211863;984000010111863;2;09/05/2026 03.57;1260;100868;797
211863;984000010111863;2;09/05/2026 05.05;699;100775;400
211863;984000010111863;2;09/05/2026 19.13;788;100412;227
211863;984000010111863;2;09/05/2026 22.54;1933;101266;815
211863;984000010111863;2;10/05/2026 02.17;718;101286;358
211863;984000010111863;2;10/05/2026 14.21;2022;102902;1235
211863;984000010111863;2;10/05/2026 18.59;659;100948;388
211863;984000010111863;2;11/05/2026 13.10;2084;98353;1239
211863;984000010111863;2;11/05/2026 22.16;1544;100760;813
211863;984000010111863;2;12/05/2026 03.25;1120;105136;513
211863;984000010111863;2;12/05/2026 05.32;1450;103169;839
211863;984000010111863;2;12/05/2026 22.42;1401;102324;660
211863;984000010111863;2;12/05/2026 23.21;453;102067;291
211863;984000010111863;2;13/05/2026 01.40;34;;10
211863;984000010111863;2;13/05/2026 03.28;557;102168;336
211863;984000010111863;2;13/05/2026 11.11;381;101785;197
211863;984000010111863;2;13/05/2026 11.43;465;101030;272
211863;984000010111863;2;13/05/2026 15.04;669;102618;359
211863;984000010111863;2;13/05/2026 19.41;1391;103571;851
211863;984000010111863;2;13/05/2026 21.06;751;103055;438
211863;984000010111863;2;13/05/2026 21.32;372;104162;243
211863;984000010111863;2;13/05/2026 22.20;28;;8
211863;984000010111863;2;13/05/2026 22.23;87;102338;22
211863;984000010111863;2;14/05/2026 15.09;1022;103360;429
211863;984000010111863;2;14/05/2026 19.18;1094;102423;593
211863;984000010111863;2;15/05/2026 02.58;851;103973;437
211863;984000010111863;2;15/05/2026 03.22;811;103743;394
211863;984000010111863;2;15/05/2026 08.11;1252;105964;856
211863;984000010111863;2;15/05/2026 09.58;450;104770;262
211863;984000010111863;2;15/05/2026 17.53;356;102165;90
211863;984000010111863;2;16/05/2026 03.48;1613;103599;875
212053;984000010112053;2;02/05/2026 13.48;77;96649;4
212053;984000010112053;2;02/05/2026 15.18;1244;98656;872
212053;984000010112053;2;03/05/2026 03.15;1547;98494;1001
212053;984000010112053;2;03/05/2026 03.57;499;98804;306
212053;984000010112053;2;03/05/2026 04.14;217;99946;97
212053;984000010112053;2;04/05/2026 00.22;2212;97933;1309
212053;984000010112053;2;04/05/2026 07.45;31;;9
212053;984000010112053;2;04/05/2026 15.28;2096;98997;1257
212053;984000010112053;2;04/05/2026 22.45;400;99669;280
212053;984000010112053;2;05/05/2026 11.10;1472;99097;864
212053;984000010112053;2;05/05/2026 11.51;519;99702;321
212053;984000010112053;2;05/05/2026 19.09;551;101291;282
212053;984000010112053;2;06/05/2026 04.24;1947;100566;1271
212053;984000010112053;2;06/05/2026 15.16;1277;103535;918
212053;984000010112053;2;07/05/2026 07.00;1513;102325;892
212053;984000010112053;2;07/05/2026 10.07;271;103981;74
212053;984000010112053;2;07/05/2026 20.03;1921;104619;1297
212053;984000010112053;2;07/05/2026 21.30;559;104622;354
212053;984000010112053;2;08/05/2026 16.25;1949;103219;887
212053;984000010112053;2;08/05/2026 21.39;315;105085;109
212053;984000010112053;2;09/05/2026 08.19;1891;104095;1268
212053;984000010112053;2;09/05/2026 10.15;448;105540;296
212053;984000010112053;2;10/05/2026 01.35;1662;104270;872
212053;984000010112053;2;10/05/2026 10.57;2398;105008;1578
212053;984000010112053;2;11/05/2026 01.29;1662;106738;1179
212053;984000010112053;2;11/05/2026 14.27;247;104733;67
212053;984000010112053;2;11/05/2026 17.46;1927;105212;1273
212053;984000010112053;2;12/05/2026 08.42;2218;107115;1277
212053;984000010112053;2;13/05/2026 04.08;2184;107049;1352
212053;984000010112053;2;13/05/2026 12.32;881;106978;376
212053;984000010112053;2;13/05/2026 15.23;1681;107896;1072
212053;984000010112053;2;14/05/2026 14.20;1784;107299;966
212053;984000010112053;2;15/05/2026 00.02;1798;107271;937
212053;984000010112053;2;15/05/2026 04.09;820;111046;467
212053;984000010112053;2;15/05/2026 10.40;1539;109738;1026
212053;984000010112053;2;16/05/2026 08.29;2225;108334;1314
212055;984000010112055;2;02/05/2026 23.44;1658;108259;1339
212055;984000010112055;2;03/05/2026 09.09;1242;109302;995
212055;984000010112055;2;04/05/2026 07.01;1069;109059;767
212055;984000010112055;2;04/05/2026 16.21;1587;108832;1170
212055;984000010112055;2;05/05/2026 07.48;1343;108578;995
212055;984000010112055;2;05/05/2026 16.37;616;109411;429
212055;984000010112055;2;06/05/2026 00.33;160;109217;87
212055;984000010112055;2;06/05/2026 01.01;476;108063;404
212055;984000010112055;2;06/05/2026 09.02;1647;108389;1284
212055;984000010112055;2;06/05/2026 21.15;421;110813;306
212055;984000010112055;2;07/05/2026 06.02;1122;110777;814
212055;984000010112055;2;07/05/2026 09.22;564;110151;389
212055;984000010112055;2;07/05/2026 19.07;1464;111940;1203
212055;984000010112055;2;08/05/2026 08.53;396;111931;162
212055;984000010112055;2;08/05/2026 17.49;1939;110600;1333
212055;984000010112055;2;08/05/2026 18.41;345;111804;235
212055;984000010112055;2;09/05/2026 05.31;1000;112964;842
212055;984000010112055;2;09/05/2026 18.58;608;114160;373
212055;984000010112055;2;10/05/2026 04.24;1240;111283;867
212055;984000010112055;2;10/05/2026 12.59;1415;114016;1293
212055;984000010112055;2;10/05/2026 16.34;447;114078;405
212055;984000010112055;2;11/05/2026 08.41;325;115176;134
212055;984000010112055;2;11/05/2026 18.35;1557;114057;1283
212055;984000010112055;2;12/05/2026 06.39;1963;114531;1446
212055;984000010112055;2;13/05/2026 00.19;1716;116295;1366
212055;984000010112055;2;13/05/2026 16.05;1778;116047;1606
212055;984000010112055;2;14/05/2026 04.09;1529;117958;1252
212055;984000010112055;2;14/05/2026 23.04;510;116859;377
212055;984000010112055;2;15/05/2026 09.01;1687;119090;1569
212055;984000010112055;2;16/05/2026 04.35;2135;117301;1693
212057;984000010112057;2;02/05/2026 19.56;1897;97121;1171
212057;984000010112057;2;03/05/2026 06.35;1290;98544;817
212057;984000010112057;2;03/05/2026 15.34;415;97754;303
212057;984000010112057;2;03/05/2026 18.32;460;97163;259
212057;984000010112057;2;03/05/2026 22.28;727;97680;411
212057;984000010112057;2;04/05/2026 05.40;407;97339;189
212057;984000010112057;2;04/05/2026 11.16;1445;99899;892
