animal_number;responder;location;visit_time;duration;weight (g);feed_intake;Unnamed: 7;Unnamed: 8;Unnamed: 9
110813;984000010110813;1;23/11/2026 03.17;1404;31543;199;;;
110813;984000010110813;1;23/11/2026 03.40;118;50753;23;;;
110813;984000010110813;1;23/11/2026 06.29;85;32065;13;;;
110813;984000010110813;1;23/11/2026 06.43;22;;6;;;
110813;984000010110813;1;23/11/2026 07.11;467;32605;262;;;
110813;984000010110813;1;23/11/2026 08.23;210;33089;62;;;
110813;984000010110813;1;23/11/2026 10.54;1349;35665;292;;;
110813;984000010110813;1;23/11/2026 15.25;1150;33963;303;;;
110813;984000010110813;1;23/11/2026 22.18;245;34606;60;;;
110813;984000010110813;1;24/11/2026 00.06;260;35175;57;;;
110813;984000010110813;1;24/11/2026 01.50;285;35503;61;;;
110813;984000010110813;1;24/11/2026 01.57;291;35499;58;;;
110813;984000010110813;1;24/11/2026 06.14;1020;35076;265;;;
110813;984000010110813;1;24/11/2026 08.08;141;54153;4;;;
110813;984000010110813;1;24/11/2026 08.11;22;;14;;;
110813;984000010110813;1;24/11/2026 09.41;1383;53375;330;;;
110813;984000010110813;1;24/11/2026 16.16;1636;36088;392;;;
110813;984000010110813;1;25/11/2026 00.37;851;36218;125;;;
110813;984000010110813;1;25/11/2026 04.46;1361;36035;249;;;
110813;984000010110813;1;25/11/2026 10.12;1316;53415;391;;;
110813;984000010110813;1;25/11/2026 21.10;1441;36774;332;;;
110813;984000010110813;1;25/11/2026 22.56;196;37228;42;;;
110813;984000010110813;1;26/11/2026 02.46;1060;36464;284;;;
110813;984000010110813;1;26/11/2026 04.10;295;37130;65;;;
110813;984000010110813;1;26/11/2026 06.59;1331;37706;311;;;
110813;984000010110813;1;26/11/2026 13.50;597;37536;162;;;
110813;984000010110813;1;26/11/2026 16.41;404;37138;92;;;
110813;984000010110813;1;26/11/2026 19.30;314;37439;71;;;
110813;984000010110813;1;26/11/2026 21.22;165;37521;26;;;
110813;984000010110813;1;26/11/2026 21.27;101;37172;23;;;
110813;984000010110813;1;27/11/2026 00.34;1348;36677;350;;;
110813;984000010110813;1;27/11/2026 00.57;39;;5;;;
110813;984000010110813;1;27/11/2026 07.31;995;38658;209;;;
110813;984000010110813;1;27/11/2026 10.43;1354;37898;383;;;
110813;984000010110813;1;27/11/2026 17.41;784;37563;208;;;
110813;984000010110813;1;27/11/2026 22.47;1628;38669;322;;;
110813;984000010110813;1;27/11/2026 23.15;123;38690;23;;;
110813;984000010110813;1;27/11/2026 23.54;253;38816;57;;;
110813;984000010110813;1;28/11/2026 01.37;308;39176;78;;;
110813;984000010110813;1;28/11/2026 01.43;190;39571;43;;;
110813;984000010110813;1;28/11/2026 06.04;697;39087;208;;;
110813;984000010110813;1;28/11/2026 08.29;831;39105;248;;;
110813;984000010110813;1;28/11/2026 11.17;704;44487;155;;;
110813;984000010110813;1;28/11/2026 21.46;1915;38905;441;;;
110813;984000010110813;1;28/11/2026 23.57;270;39620;56;;;
110813;984000010110813;1;29/11/2026 00.05;111;39572;28;;;
110813;984000010110813;1;29/11/2026 05.13;1167;39695;352;;;
110813;984000010110813;1;29/11/2026 06.01;875;40039;178;;;
110813;984000010110813;1;29/11/2026 06.45;47;;5;;;
110813;984000010110813;1;29/11/2026 10.34;1094;40781;325;;;
110813;984000010110813;1;29/11/2026 13.30;762;41596;245;;;
110813;984000010110813;1;29/11/2026 18.57;649;41619;206;;;
110813;984000010110813;1;29/11/2026 21.38;539;41631;149;;;
110813;984000010110813;1;29/11/2026 21.57;454;41674;162;;;
110813;984000010110813;1;29/11/2026 23.19;610;41926;159;;;
110813;984000010110813;1;29/11/2026 23.31;95;42758;29;;;
110813;984000010110813;1;30/11/2026 03.03;179;42693;55;;;
