animal_number;responder;location;visit_time;duration;weight (g);feed_intake;Unnamed: 7;Unnamed: 8;Unnamed: 9
110813;984000010110813;1;24/12/2026 03.17;1404;31717;200;;;
110813;984000010110813;1;24/12/2026 03.40;118;50809;22;;;
110813;984000010110813;1;24/12/2026 06.29;85;32057;13;;;
110813;984000010110813;1;24/12/2026 06.43;22;;6;;;
110813;984000010110813;1;24/12/2026 07.11;467;32605;267;;;
110813;984000010110813;1;24/12/2026 08.23;210;33149;64;;;
110813;984000010110813;1;24/12/2026 10.54;1349;35603;287;;;
110813;984000010110813;1;24/12/2026 15.25;1150;34305;298;;;
110813;984000010110813;1;24/12/2026 22.18;245;34441;62;;;
110813;984000010110813;1;25/12/2026 00.06;260;35094;56;;;
110813;984000010110813;1;25/12/2026 01.50;285;35731;61;;;
110813;984000010110813;1;25/12/2026 01.57;291;35540;58;;;
110813;984000010110813;1;25/12/2026 06.14;1020;35013;261;;;
110813;984000010110813;1;25/12/2026 08.08;141;54278;4;;;
110813;984000010110813;1;25/12/2026 08.11;22;;13;;;
110813;984000010110813;1;25/12/2026 09.41;1383;53295;320;;;
110813;984000010110813;1;25/12/2026 16.16;1636;36031;390;;;
110813;984000010110813;1;26/12/2026 00.37;851;35986;124;;;
110813;984000010110813;1;26/12/2026 04.46;1361;36133;247;;;
110813;984000010110813;1;26/12/2026 10.12;1316;52988;401;;;
110813;984000010110813;1;26/12/2026 21.10;1441;36629;327;;;
110813;984000010110813;1;26/12/2026 22.56;196;36998;41;;;
110813;984000010110813;1;27/12/2026 02.46;1060;36657;295;;;
110813;984000010110813;1;27/12/2026 04.10;295;37159;63;;;
110813;984000010110813;1;27/12/2026 06.59;1331;37606;307;;;
110813;984000010110813;1;27/12/2026 13.50;597;37799;158;;;
110813;984000010110813;1;27/12/2026 16.41;404;37153;89;;;
110813;984000010110813;1;27/12/2026 19.30;314;37692;66;;;
110813;984000010110813;1;27/12/2026 21.22;165;37480;26;;;
110813;984000010110813;1;27/12/2026 21.27;101;37356;23;;;
110813;984000010110813;1;28/12/2026 00.34;1348;36611;348;;;
110813;984000010110813;1;28/12/2026 00.57;39;;5;;;
110813;984000010110813;1;28/12/2026 07.31;995;38560;217;;;
110813;984000010110813;1;28/12/2026 10.43;1354;38307;375;;;
110813;984000010110813;1;28/12/2026 17.41;784;37729;211;;;
110813;984000010110813;1;28/12/2026 22.47;1628;38798;317;;;
