animal_number;responder;location;visit_time;duration;weight (g);feed_intake;Unnamed: 7;Unnamed: 8;Unnamed: 9
110813;984000010110813;1;22/07/2026 03.17;1404;31538;199;;;
110813;984000010110813;1;22/07/2026 03.40;118;50497;23;;;
110813;984000010110813;1;22/07/2026 06.29;85;32173;13;;;
110813;984000010110813;1;22/07/2026 06.43;22;;6;;;
110813;984000010110813;1;22/07/2026 07.11;467;32386;256;;;
110813;984000010110813;1;22/07/2026 08.23;210;33092;64;;;
110813;984000010110813;1;22/07/2026 10.54;1349;35711;294;;;
110813;984000010110813;1;22/07/2026 15.25;1150;34038;311;;;
110813;984000010110813;1;22/07/2026 22.18;245;34627;62;;;
110813;984000010110813;1;23/07/2026 00.06;260;35061;55;;;
110813;984000010110813;1;23/07/2026 01.50;285;35372;63;;;
110813;984000010110813;1;23/07/2026 01.57;291;35619;59;;;
110813;984000010110813;1;23/07/2026 06.14;1020;35025;261;;;
110813;984000010110813;1;23/07/2026 08.08;141;53826;4;;;
110813;984000010110813;1;23/07/2026 08.11;22;;14;;;
110813;984000010110813;1;23/07/2026 09.41;1383;53108;336;;;
110813;984000010110813;1;23/07/2026 16.16;1636;35933;406;;;
110813;984000010110813;1;24/07/2026 00.37;851;36043;122;;;
110813;984000010110813;1;24/07/2026 04.46;1361;36124;245;;;
110813;984000010110813;1;24/07/2026 10.12;1316;52943;404;;;
110813;984000010110813;1;24/07/2026 21.10;1441;36395;341;;;
110813;984000010110813;1;24/07/2026 22.56;196;37081;43;;;
110813;984000010110813;1;25/07/2026 02.46;1060;36539;295;;;
110813;984000010110813;1;25/07/2026 04.10;295;36987;62;;;
110813;984000010110813;1;25/07/2026 06.59;1331;37558;301;;;
110813;984000010110813;1;25/07/2026 13.50;597;37518;157;;;
110813;984000010110813;1;25/07/2026 16.41;404;37065;89;;;
110813;984000010110813;1;25/07/2026 19.30;314;37712;70;;;
110813;984000010110813;1;25/07/2026 21.22;165;37607;25;;;
110813;984000010110813;1;25/07/2026 21.27;101;37113;23;;;
110813;984000010110813;1;26/07/2026 00.34;1348;36558;353;;;
110813;984000010110813;1;26/07/2026 00.57;39;;5;;;
110813;984000010110813;1;26/07/2026 07.31;995;38649;222;;;
110813;984000010110813;1;26/07/2026 10.43;1354;38149;386;;;
110813;984000010110813;1;26/07/2026 17.41;784;37379;212;;;
110813;984000010110813;1;26/07/2026 22.47;1628;38460;319;;;
110813;984000010110813;1;26/07/2026 23.15;123;38427;24;;;
110813;984000010110813;1;26/07/2026 23.54;253;38534;58;;;
110813;984000010110813;1;27/07/2026 01.37;308;39108;79;;;
110813;984000010110813;1;27/07/2026 01.43;190;39609;45;;;
110813;984000010110813;1;27/07/2026 06.04;697;38965;203;;;
110813;984000010110813;1;27/07/2026 08.29;831;39064;250;;;
110813;984000010110813;1;27/07/2026 11.17;704;44279;155;;;
110813;984000010110813;1;27/07/2026 21.46;1915;38673;437;;;
110813;984000010110813;1;27/07/2026 23.57;270;39566;58;;;
110813;984000010110813;1;28/07/2026 00.05;111;39387;28;;;
110813;984000010110813;1;28/07/2026 05.13;1167;39615;359;;;
110813;984000010110813;1;28/07/2026 06.01;875;40011;175;;;
110813;984000010110813;1;28/07/2026 06.45;47;;5;;;
110813;984000010110813;1;28/07/2026 10.34;1094;40478;342;;;
110813;984000010110813;1;28/07/2026 13.30;762;41765;250;;;
110813;984000010110813;1;28/07/2026 18.57;649;41549;201;;;
110813;984000010110813;1;28/07/2026 21.38;539;41803;146;;;
110813;984000010110813;1;28/07/2026 21.57;454;41696;158;;;
110813;984000010110813;1;28/07/2026 23.19;610;42202;163;;;
110813;984000010110813;1;28/07/2026 23.31;95;42585;31;;;
110813;984000010110813;1;29/07/2026 03.03;179;42514;58;;;
110813;984000010110813;1;29/07/2026 05.08;583;42463;206;;;
110813;984000010110813;1;29/07/2026 05.53;1159;42776;307;;;
110813;984000010110813;1;29/07/2026 11.38;475;43579;156;;;
110813;984000010110813;1;29/07/2026 12.15;1201;43393;307;;;
110813;984000010110813;1;29/07/2026 19.51;853;43609;255;;;
110813;984000010110813;1;29/07/2026 20.59;188;43669;58;;;
110813;984000010110813;1;29/07/2026 21.13;218;43973;57;;;
110813;984000010110813;1;30/07/2026 02.47;531;42927;169;;;
110813;984000010110813;1;30/07/2026 03.28;1372;42925;490;;;
110813;984000010110813;1;30/07/2026 06.59;981;43764;289;;;
110813;984000010110813;1;30/07/2026 14.48;1207;43058;404;;;
110813;984000010110813;1;30/07/2026 18.18;187;43605;83;;;
110813;984000010110813;1;30/07/2026 20.17;530;43474;189;;;
110813;984000010110813;1;30/07/2026 20.52;318;43309;88;;;
110813;984000010110813;1;30/07/2026 20.58;349;43808;71;;;
110813;984000010110813;1;30/07/2026 21.06;49;;11;;;
110813;984000010110813;1;30/07/2026 23.33;729;44292;275;;;
