animal_number;responder;location;visit_time;duration;weight (g);feed_intake;Unnamed: 7;Unnamed: 8;Unnamed: 9
110813;984000010110813;1;21/05/2026 03.17;1404;31549;202;;;
110813;984000010110813;1;21/05/2026 03.40;118;50631;23;;;
110813;984000010110813;1;21/05/2026 06.29;85;32088;13;;;
110813;984000010110813;1;21/05/2026 06.43;22;;6;;;
110813;984000010110813;1;21/05/2026 07.11;467;32603;269;;;
110813;984000010110813;1;21/05/2026 08.23;210;33139;65;;;
110813;984000010110813;1;21/05/2026 10.54;1349;35600;285;;;
110813;984000010110813;1;21/05/2026 15.25;1150;34091;315;;;
110813;984000010110813;1;21/05/2026 22.18;245;34597;62;;;
110813;984000010110813;1;22/05/2026 00.06;260;34973;56;;;
110813;984000010110813;1;22/05/2026 01.50;285;35535;59;;;
110813;984000010110813;1;22/05/2026 01.57;291;35468;60;;;
110813;984000010110813;1;22/05/2026 06.14;1020;35039;265;;;
110813;984000010110813;1;22/05/2026 08.08;141;54231;4;;;
110813;984000010110813;1;22/05/2026 08.11;22;;14;;;
110813;984000010110813;1;22/05/2026 09.41;1383;53434;331;;;
110813;984000010110813;1;22/05/2026 16.16;1636;36187;401;;;
110813;984000010110813;1;23/05/2026 00.37;851;36142;124;;;
110813;984000010110813;1;23/05/2026 04.46;1361;36148;250;;;
110813;984000010110813;1;23/05/2026 10.12;1316;53278;397;;;
110813;984000010110813;1;23/05/2026 21.10;1441;36515;340;;;
110813;984000010110813;1;23/05/2026 22.56;196;37115;42;;;
110813;984000010110813;1;24/05/2026 02.46;1060;36550;286;;;
110813;984000010110813;1;24/05/2026 04.10;295;37066;63;;;
110813;984000010110813;1;24/05/2026 06.59;1331;37596;301;;;
110813;984000010110813;1;24/05/2026 13.50;597;37537;161;;;
110813;984000010110813;1;24/05/2026 16.41;404;36971;93;;;
110813;984000010110813;1;24/05/2026 19.30;314;37767;68;;;
110813;984000010110813;1;24/05/2026 21.22;165;37481;25;;;
110813;984000010110813;1;24/05/2026 21.27;101;36974;22;;;
110813;984000010110813;1;25/05/2026 00.34;1348;36420;352;;;
110813;984000010110813;1;25/05/2026 00.57;39;;5;;;
110813;984000010110813;1;25/05/2026 07.31;995;38560;218;;;
110813;984000010110813;1;25/05/2026 10.43;1354;37958;374;;;
110813;984000010110813;1;25/05/2026 17.41;784;37574;219;;;
110813;984000010110813;1;25/05/2026 22.47;1628;38748;314;;;
110813;984000010110813;1;25/05/2026 23.15;123;38517;24;;;
110813;984000010110813;1;25/05/2026 23.54;253;38600;58;;;
110813;984000010110813;1;26/05/2026 01.37;308;39066;82;;;
110813;984000010110813;1;26/05/2026 01.43;190;39573;44;;;
110813;984000010110813;1;26/05/2026 06.04;697;38936;203;;;
110813;984000010110813;1;26/05/2026 08.29;831;38960;252;;;
110813;984000010110813;1;26/05/2026 11.17;704;44353;157;;;
110813;984000010110813;1;26/05/2026 21.46;1915;38467;434;;;
110813;984000010110813;1;26/05/2026 23.57;270;39463;58;;;
110813;984000010110813;1;27/05/2026 00.05;111;39602;27;;;
110813;984000010110813;1;27/05/2026 05.13;1167;39501;352;;;
110813;984000010110813;1;27/05/2026 06.01;875;40215;178;;;
110813;984000010110813;1;27/05/2026 06.45;47;;5;;;
110813;984000010110813;1;27/05/2026 10.34;1094;40507;335;;;
110813;984000010110813;1;27/05/2026 13.30;762;41419;246;;;
110813;984000010110813;1;27/05/2026 18.57;649;41542;203;;;
110813;984000010110813;1;27/05/2026 21.38;539;41669;143;;;
110813;984000010110813;1;27/05/2026 21.57;454;41413;159;;;
110813;984000010110813;1;27/05/2026 23.19;610;42012;161;;;
110813;984000010110813;1;27/05/2026 23.31;95;42375;30;;;
110813;984000010110813;1;28/05/2026 03.03;179;42689;55;;;
110813;984000010110813;1;28/05/2026 05.08;583;42516;215;;;
110813;984000010110813;1;28/05/2026 05.53;1159;42371;311;;;
110813;984000010110813;1;28/05/2026 11.38;475;43575;155;;;
110813;984000010110813;1;28/05/2026 12.15;1201;43521;324;;;
110813;984000010110813;1;28/05/2026 19.51;853;43335;260;;;
110813;984000010110813;1;28/05/2026 20.59;188;43684;56;;;
110813;984000010110813;1;28/05/2026 21.13;218;44098;56;;;
110813;984000010110813;1;29/05/2026 02.47;531;43026;164;;;
110813;984000010110813;1;29/05/2026 03.28;1372;43079;503;;;
110813;984000010110813;1;29/05/2026 06.59;981;43588;287;;;
110813;984000010110813;1;29/05/2026 14.48;1207;43111;419;;;
110813;984000010110813;1;29/05/2026 18.18;187;43584;85;;;
110813;984000010110813;1;29/05/2026 20.17;530;43414;189;;;
110813;984000010110813;1;29/05/2026 20.52;318;43415;90;;;
110813;984000010110813;1;29/05/2026 20.58;349;43940;69;;;
110813;984000010110813;1;29/05/2026 21.06;49;;11;;;
110813;984000010110813;1;29/05/2026 23.33;729;43895;281;;;
110813;984000010110813;1;30/05/2026 03.26;1024;45696;323;;;
110813;984000010110813;1;30/05/2026 04.46;740;46136;282;;;
110813;984000010110813;1;30/05/2026 08.40;942;45006;313;;;
