animal_number;responder;location;visit_time;duration;weight (g);feed_intake;Unnamed: 7;Unnamed: 8;Unnamed: 9
110813;984000010110813;1;20/04/2026 03.17;1404;31561;201;;;
110813;984000010110813;1;20/04/2026 03.40;118;50644;23;;;
110813;984000010110813;1;20/04/2026 06.29;85;31929;13;;;
110813;984000010110813;1;20/04/2026 06.43;22;;6;;;
110813;984000010110813;1;20/04/2026 07.11;467;32400;260;;;
110813;984000010110813;1;20/04/2026 08.23;210;32904;63;;;
110813;984000010110813;1;20/04/2026 10.54;1349;35422;296;;;
110813;984000010110813;1;20/04/2026 15.25;1150;34215;307;;;
110813;984000010110813;1;20/04/2026 22.18;245;34498;63;;;
110813;984000010110813;1;21/04/2026 00.06;260;35106;56;;;
110813;984000010110813;1;21/04/2026 01.50;285;35399;61;;;
110813;984000010110813;1;21/04/2026 01.57;291;35744;57;;;
110813;984000010110813;1;21/04/2026 06.14;1020;35071;260;;;
110813;984000010110813;1;21/04/2026 08.08;141;54333;4;;;
110813;984000010110813;1;21/04/2026 08.11;22;;14;;;
110813;984000010110813;1;21/04/2026 09.41;1383;53010;345;;;
110813;984000010110813;1;21/04/2026 16.16;1636;36055;400;;;
110813;984000010110813;1;22/04/2026 00.37;851;36011;118;;;
110813;984000010110813;1;22/04/2026 04.46;1361;36050;245;;;
110813;984000010110813;1;22/04/2026 10.12;1316;52861;411;;;
110813;984000010110813;1;22/04/2026 21.10;1441;36557;344;;;
110813;984000010110813;1;22/04/2026 22.56;196;37009;43;;;
110813;984000010110813;1;23/04/2026 02.46;1060;36576;287;;;
110813;984000010110813;1;23/04/2026 04.10;295;37101;66;;;
110813;984000010110813;1;23/04/2026 06.59;1331;37453;323;;;
110813;984000010110813;1;23/04/2026 13.50;597;37507;159;;;
110813;984000010110813;1;23/04/2026 16.41;404;37276;96;;;
110813;984000010110813;1;23/04/2026 19.30;314;37532;71;;;
110813;984000010110813;1;23/04/2026 21.22;165;37399;25;;;
110813;984000010110813;1;23/04/2026 21.27;101;37007;24;;;
110813;984000010110813;1;24/04/2026 00.34;1348;36716;346;;;
110813;984000010110813;1;24/04/2026 00.57;39;;5;;;
110813;984000010110813;1;24/04/2026 07.31;995;38513;221;;;
110813;984000010110813;1;24/04/2026 10.43;1354;37974;389;;;
110813;984000010110813;1;24/04/2026 17.41;784;37552;218;;;
110813;984000010110813;1;24/04/2026 22.47;1628;38403;312;;;
110813;984000010110813;1;24/04/2026 23.15;123;38710;23;;;
110813;984000010110813;1;24/04/2026 23.54;253;38509;58;;;
110813;984000010110813;1;25/04/2026 01.37;308;39006;82;;;
110813;984000010110813;1;25/04/2026 01.43;190;39558;45;;;
110813;984000010110813;1;25/04/2026 06.04;697;38985;203;;;
